spec,threshold,subset,group,metric,n,n_players,mean_delta,sd_delta,median_delta,ci_lo,ci_hi,rank_biserial,wilcoxon_p,mean_pre,mean_post
league_specific,100,all,EL_to_NBA,pps,19,11,-0.10262639612266718,0.15568212960257308,-0.09729729729729719,-0.16892297952986451,-0.03287340151517975,-0.47368421052631576,0.012359619140625,1.080706341268758,0.9780799451460911
league_specific,100,all,EL_to_NBA,sxsv,19,11,-0.007899956852941337,0.07063700291071251,-0.011392838374229441,-0.03788625964580498,0.023901769576662703,-0.47368421052631576,0.3954620361328125,1.03058526186139,1.0226853050084486
league_specific,100,all,EL_to_NBA,smoe,19,11,-0.03732339168841815,0.05677801984310558,-0.02671882193314845,-0.06188567450633113,-0.012949529900604032,-0.47368421052631576,0.01082611083984375,0.022659000251470808,-0.014664391436947345
league_specific,100,all,EL_to_NBA,three_rate,19,11,-0.028286946596767473,0.1942357503322879,-0.00046379321006739804,-0.11445018734726498,0.057530641164270827,-0.05263157894736842,0.70855712890625,0.48633838225383313,0.45805143565706546
league_specific,100,all,EL_to_NBA,mean_dist,19,11,-0.045503965526679215,1.0436714741800246,-0.009434677725586482,-0.49990733194220316,0.42828403102213486,-0.05263157894736842,0.8905677795410156,4.975963783728513,4.930459818201833
league_specific,100,all,EL_to_NBA,pps_over_sxsv,19,11,-0.09472643926972585,0.1349323712308606,-0.07465140901292266,-0.15205518004950902,-0.03581621584805849,-0.47368421052631576,0.00945281982421875,0.05012107940736808,-0.04460535986235776
league_specific,100,all,NBA_to_EL,efg,12,8,0.022778235335031566,0.05052046458285255,0.018682940561595807,-0.003946495448982589,0.050008362791454306,0.5,0.17626953125,0.4765531878333477,0.49933142316837936
league_specific,100,all,NBA_to_EL,pps,12,8,0.04555647067006313,0.1010409291657051,0.03736588112319161,-0.007892990897965179,0.10001672558290861,0.5,0.17626953125,0.9531063756666954,0.9986628463367587
league_specific,100,all,NBA_to_EL,sxsv,12,8,-0.01386923436375273,0.08018692994431399,-0.026786836593238217,-0.0565266782964303,0.029145993141423392,-0.3333333333333333,0.6220703125,1.0275329890383669,1.0136637546746143
league_specific,100,all,NBA_to_EL,smoe,12,8,0.020873914646046987,0.04302779298611706,0.022830618384257234,-0.0034719080294405703,0.04327506648939376,0.5,0.12939453125,-0.027871326332489118,-0.006997411686442131
league_specific,100,all,NBA_to_EL,three_rate,12,8,-0.0167759580874484,0.18930017580175074,0.04976644373965805,-0.1267488878787934,0.07932119665743996,0.3333333333333333,0.67724609375,0.4321136759389606,0.41533771785151224
league_specific,100,all,NBA_to_EL,mean_dist,12,8,-0.1691058531714772,1.039277245374556,0.05888757971828085,-0.7656994754834838,0.36883266914423296,0.16666666666666666,0.9697265625,4.882921718610631,4.7138158654391535
league_specific,100,all,NBA_to_EL,pps_over_sxsv,12,8,0.05942570503381586,0.09497241040952031,0.0684526751650012,0.006006471314010345,0.1074596241244343,0.5,0.05224609375,-0.07442661337167153,-0.015000908337855667
league_specific,150,all,ALL,efg,19,9,-0.04212522498401282,0.07370821781850012,-0.04754378887356975,-0.07529492835563331,-0.010346768067758793,-0.3684210526315789,0.02298736572265625,0.5380384577290359,0.49591323274502325
league_specific,150,all,ALL,pps,19,9,-0.08425044996802564,0.14741643563700024,-0.0950875777471395,-0.15058985671126662,-0.020693536135517585,-0.3684210526315789,0.02298736572265625,1.0760769154580718,0.9918264654900465
league_specific,150,all,ALL,sxsv,19,9,-0.01673867689879677,0.06460621453622531,-0.0190040575035737,-0.04431502742023325,0.011715039330607553,-0.5789473684210527,0.1336212158203125,1.0619617834460622,1.0452231065472657
league_specific,150,all,ALL,smoe,19,9,-0.02434981400027185,0.052378262448416556,-0.021399991924341607,-0.04752650459947857,-0.001181097585253965,-0.3684210526315789,0.06628799438476562,0.0050788737777282475,-0.0192709402225436
league_specific,150,all,ALL,three_rate,19,9,0.025072197732516736,0.16265519625617245,0.02428355957767722,-0.05025054323459925,0.09287053815707785,0.15789473684210525,0.312408447265625,0.4705775668294332,0.49564976456194987
league_specific,150,all,ALL,mean_dist,19,9,0.1656441612310013,0.9627752293962869,0.12110910233915373,-0.2775678298132899,0.570754869079473,0.15789473684210525,0.312408447265625,4.779965565152778,4.94560972638378
league_specific,150,all,ALL,pps_over_sxsv,19,9,-0.06751177306922887,0.12623456502221256,-0.07317040618708703,-0.12357797119948273,-0.01268090335698467,-0.3684210526315789,0.03234100341796875,0.014115132012009557,-0.05339664105721931
league_specific,150,all,EL_to_NBA,efg,15,9,-0.062349003886894655,0.06559333254144234,-0.048648648648648596,-0.09751873583351588,-0.03158232609562247,-0.6,0.00115966796875,0.5532543325094804,0.4909053286225858
